epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.19661,1.24957,4.23395,1.2327,0.00369,0.38961,0.03645,0.02081,1.17117,3.89601,1.07929,7.14e-06,7.14e-06,7.14e-06
2,5.54199,1.30928,4.07024,1.23814,0.00372,0.38961,0.03385,0.02233,1.16264,3.89156,1.07831,2.03597e-05,2.03597e-05,2.03597e-05
3,7.02591,1.62476,4.02923,1.3829,0.00386,0.38961,0.04145,0.02961,1.15186,3.88814,1.0675,3.21657e-05,3.21657e-05,3.21657e-05
4,8.44109,1.43162,4.08563,1.4807,0.0045,0.40627,0.05471,0.04387,1.13331,3.88401,1.05946,4.2558e-05,4.2558e-05,4.2558e-05
5,9.80368,1.25305,4.08536,1.2622,0.00508,0.40627,0.06343,0.05183,1.10739,3.876,1.04761,5.15365e-05,5.15365e-05,5.15365e-05
6,11.1968,1.20593,3.9244,1.20489,0.00589,0.40627,0.09047,0.07746,1.11489,3.86921,1.047,5.91013e-05,5.91013e-05,5.91013e-05
7,12.6174,1.33461,4.03534,1.31717,0.00672,0.40627,0.13102,0.11947,1.11518,3.86476,1.04574,6.52525e-05,6.52525e-05,6.52525e-05
8,14.0398,1.23665,3.93744,1.18761,0.00728,0.40627,0.16723,0.15119,1.11187,3.85707,1.03506,6.99899e-05,6.99899e-05,6.99899e-05
9,15.5034,1.05358,3.76972,1.16394,0.00839,0.40627,0.19633,0.17821,1.10206,3.85602,1.0287,7.33135e-05,7.33135e-05,7.33135e-05
10,17.091,1.1367,3.76727,1.12308,0.00946,0.40627,0.20937,0.18813,1.10323,3.85359,1.02661,7.52235e-05,7.52235e-05,7.52235e-05
11,46.3763,1.19887,4.06165,1.13674,0.01039,0.40627,0.21988,0.19857,1.12231,3.84227,1.02099,7.57197e-05,7.57197e-05,7.57197e-05
12,47.7722,1.24306,3.90564,1.08135,0.01039,0.40627,0.21988,0.19857,1.12231,3.84227,1.02099,7.48022e-05,7.48022e-05,7.48022e-05
13,49.2962,1.14016,3.86761,1.13614,0.01139,0.40627,0.22634,0.20456,1.11474,3.83132,1.00893,7.2471e-05,7.2471e-05,7.2471e-05
14,50.7812,1.28631,3.87341,1.11849,0.01228,0.40627,0.23291,0.20931,1.1078,3.81284,0.99597,6.87261e-05,6.87261e-05,6.87261e-05
15,52.188,1.30522,3.89774,1.16375,0.01228,0.40627,0.23291,0.20931,1.1078,3.81284,0.99597,6.35674e-05,6.35674e-05,6.35674e-05
16,53.8922,1.02142,3.65789,1.06765,0.01234,0.40627,0.24588,0.22408,1.09059,3.7868,0.99196,5.6995e-05,5.6995e-05,5.6995e-05
17,55.4291,1.32044,3.80737,1.18612,0.0133,0.42627,0.26096,0.23331,1.07761,3.76065,0.98918,4.9009e-05,4.9009e-05,4.9009e-05
18,56.8289,1.22143,3.54805,1.10689,0.0133,0.42627,0.26096,0.23331,1.07761,3.76065,0.98918,3.96092e-05,3.96092e-05,3.96092e-05
19,58.3498,1.37246,3.7386,1.12756,0.01315,0.42627,0.26153,0.23635,1.08464,3.74294,0.99161,2.87956e-05,2.87956e-05,2.87956e-05
20,59.7725,1.20206,3.49732,1.15292,0.01315,0.42627,0.26153,0.23635,1.08464,3.74294,0.99161,1.65684e-05,1.65684e-05,1.65684e-05
