epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.40379,1.24957,4.23395,1.2327,0.00369,0.38961,0.03645,0.02081,1.17117,3.89601,1.07929,7.14e-06,7.14e-06,7.14e-06
2,4.85222,1.30928,4.07024,1.23814,0.00372,0.38961,0.03385,0.02233,1.16264,3.89156,1.07831,2.03597e-05,2.03597e-05,2.03597e-05
3,6.36164,1.24289,4.09087,1.24687,0.00399,0.38961,0.05665,0.03636,1.12458,3.88617,1.05493,3.21657e-05,3.21657e-05,3.21657e-05
4,7.82489,1.02766,3.99711,1.12912,0.0045,0.40627,0.07085,0.05635,1.11392,3.87707,1.04697,4.2558e-05,4.2558e-05,4.2558e-05
5,9.54096,1.03069,3.80555,1.13844,0.0046,0.40627,0.07657,0.06117,1.10549,3.87132,1.04305,5.15365e-05,5.15365e-05,5.15365e-05
1,2.69069,1.45955,2.51217,1.39849,0.64133,0.4535,0.55337,0.41434,1.23645,1.16119,1.09742,1.19e-06,1.19e-06,1.19e-06
2,4.2834,1.39516,2.84951,1.27818,0.63285,0.45788,0.55412,0.41553,1.23485,1.17747,1.09712,3.39329e-06,3.39329e-06,3.39329e-06
3,5.73172,1.39513,2.56081,1.36992,0.62986,0.46156,0.54803,0.40739,1.22261,1.17837,1.09241,5.36095e-06,5.36095e-06,5.36095e-06
4,7.22685,1.12437,2.28975,1.1676,0.68917,0.46344,0.54769,0.41729,1.21245,1.16374,1.08594,7.093e-06,7.093e-06,7.093e-06
5,8.67682,1.11099,1.90559,1.15908,0.6917,0.4627,0.54899,0.41794,1.215,1.15712,1.0835,8.58942e-06,8.58942e-06,8.58942e-06
6,10.2231,1.31237,2.0101,1.24024,0.68917,0.46117,0.54039,0.41329,1.21599,1.15559,1.08318,9.85022e-06,9.85022e-06,9.85022e-06
7,11.7863,1.44291,2.10867,1.32561,0.68739,0.4607,0.55109,0.41831,1.20383,1.15439,1.08041,1.08754e-05,1.08754e-05,1.08754e-05
8,13.3265,1.35213,1.70057,1.25034,0.6887,0.45957,0.55357,0.41871,1.1899,1.14679,1.07692,1.1665e-05,1.1665e-05,1.1665e-05
9,14.8336,1.33869,2.61346,1.2558,0.47072,0.52648,0.55968,0.41748,1.18415,1.13753,1.07523,1.22189e-05,1.22189e-05,1.22189e-05
10,16.3332,1.30384,1.71887,1.27243,0.68083,0.47699,0.57093,0.42612,1.17735,1.12014,1.07292,1.25372e-05,1.25372e-05,1.25372e-05
11,30.3702,1.43628,1.7517,1.25245,0.68544,0.46947,0.54463,0.40882,1.16994,1.09901,1.06781,1.262e-05,1.262e-05,1.262e-05
12,31.8535,1.39863,1.76349,1.34825,0.68544,0.46947,0.54463,0.40882,1.16994,1.09901,1.06781,1.2467e-05,1.2467e-05,1.2467e-05
13,33.3552,1.39581,2.13283,1.25977,0.70909,0.46926,0.54153,0.39941,1.17602,1.09386,1.06775,1.20785e-05,1.20785e-05,1.20785e-05
14,34.8016,1.22388,1.85628,1.21422,0.68888,0.46924,0.54143,0.40655,1.17235,1.07751,1.06545,1.14543e-05,1.14543e-05,1.14543e-05
15,36.1968,1.24224,1.45346,1.1321,0.68888,0.46924,0.54143,0.40655,1.17235,1.07751,1.06545,1.05946e-05,1.05946e-05,1.05946e-05
16,37.6706,1.37052,1.68049,1.23363,0.72202,0.49604,0.54772,0.41336,1.18,1.07015,1.06687,9.49918e-06,9.49918e-06,9.49918e-06
17,39.178,1.46203,1.60712,1.40069,0.71917,0.49645,0.55108,0.4127,1.18475,1.06629,1.06639,8.16816e-06,8.16816e-06,8.16816e-06
18,40.7204,1.24071,1.58236,1.22368,0.71917,0.49645,0.55108,0.4127,1.18475,1.06629,1.06639,6.60153e-06,6.60153e-06,6.60153e-06
19,42.1888,1.24183,1.55061,1.1092,0.6668,0.52241,0.55538,0.41362,1.18394,1.06122,1.06526,4.79927e-06,4.79927e-06,4.79927e-06
20,43.6233,1.60685,2.09753,1.4092,0.6668,0.52241,0.55538,0.41362,1.18394,1.06122,1.06526,2.7614e-06,2.7614e-06,2.7614e-06
1,12.3152,1.12646,1.69596,1.22935,0.65086,0.53125,0.62034,0.45805,1.07065,1.08116,1.1113,1.785e-05,1.785e-05,1.785e-05
2,21.4655,1.21045,1.52769,1.28159,0.67343,0.57174,0.63153,0.46878,1.05946,1.04982,1.10686,3.50639e-05,3.50639e-05,3.50639e-05
3,30.637,1.1825,1.47139,1.27216,0.687,0.57663,0.651,0.48199,1.05693,1.03792,1.10281,5.03929e-05,5.03929e-05,5.03929e-05
4,39.5447,1.14804,1.33008,1.24539,0.67431,0.58956,0.66517,0.49556,1.04956,1.02759,1.09734,6.3837e-05,6.3837e-05,6.3837e-05
5,48.2694,1.145,1.3771,1.22794,0.67018,0.60403,0.67318,0.50563,1.03363,1.00557,1.0915,7.5396e-05,7.5396e-05,7.5396e-05
6,57.1608,1.20571,1.3424,1.22314,0.67037,0.6251,0.69087,0.5226,1.02464,0.98965,1.08581,8.50701e-05,8.50701e-05,8.50701e-05
7,66.2601,1.19055,1.35203,1.23199,0.66977,0.64623,0.69704,0.52553,1.01494,0.97153,1.0795,8.3657e-05,8.3657e-05,8.3657e-05
8,75.0924,1.15082,1.29909,1.20122,0.70521,0.65917,0.70852,0.53271,1.01178,0.94591,1.07584,7.77665e-05,7.77665e-05,7.77665e-05
9,83.7743,1.1202,1.27403,1.21675,0.70905,0.66328,0.70979,0.53321,1.00979,0.93566,1.07425,7.1876e-05,7.1876e-05,7.1876e-05
10,92.7297,1.093,1.19715,1.17527,0.71958,0.65957,0.71007,0.53615,1.00192,0.91245,1.06943,6.59855e-05,6.59855e-05,6.59855e-05
11,112.336,1.12238,1.34121,1.20635,0.72472,0.66408,0.72296,0.54409,0.99576,0.89784,1.06508,6.0095e-05,6.0095e-05,6.0095e-05
12,120.997,1.11407,1.30241,1.16999,0.70555,0.66804,0.72519,0.54678,0.99625,0.90022,1.06322,5.42045e-05,5.42045e-05,5.42045e-05
13,129.644,1.14215,1.29493,1.1836,0.70971,0.67247,0.73953,0.55283,1.00036,0.89755,1.06654,4.8314e-05,4.8314e-05,4.8314e-05
14,138.352,1.1161,1.23694,1.17091,0.7242,0.66999,0.74112,0.55199,0.99891,0.89222,1.06388,4.24235e-05,4.24235e-05,4.24235e-05
15,146.928,1.12382,1.28263,1.20497,0.70677,0.69261,0.74668,0.55794,0.99482,0.88534,1.06239,3.6533e-05,3.6533e-05,3.6533e-05
16,155.602,1.12713,1.20191,1.17931,0.71283,0.69671,0.74591,0.56109,0.99313,0.8813,1.06126,3.06425e-05,3.06425e-05,3.06425e-05
